symbol,market_type,trigger_date,entry_date,entry_price,target_ath,drawdown_pct,trigger_close,exit_date,exit_price,reason
ITCHOTELS,Mid Cap,2026-06-02,2026-06-03,152.5,254.75,-40.08635917566241,152.63,2026-09-10,154.13,DATA_END
SOBHA,Small Cap,2026-06-08,2026-06-09,1293.2,2181.15,-40.73309951172547,1292.7,2026-09-10,1235.7,DATA_END
ICICIPRULI,Mid Cap,2026-06-10,2026-06-11,465.4,791.05,-41.11623791163643,465.8,2026-09-10,471.0,DATA_END
LEMONTREE,Small Cap,2026-06-11,2026-06-12,104.29,177.93,-41.7298937784522,103.68,2026-09-10,105.7,DATA_END
HCLTECH,Large Cap,2026-07-14,2026-07-15,1157.0,1995.1,-41.521728234173715,1166.7,2026-09-10,1207.0,DATA_END
NSLNISP,Small Cap,2026-07-22,2026-07-23,42.24,70.9,-40.423131170662906,42.24,2026-09-10,43.86,DATA_END
SAPPHIRE,Small Cap,2026-07-24,2026-07-27,181.0,381.6,-53.06079664570231,179.12,2026-09-10,224.11,DATA_END
UTIAMC,Small Cap,2026-07-24,2026-07-27,895.0,1475.4,-40.26026840178935,881.4,2026-09-10,921.45,DATA_END
DEVYANI,Small Cap,2026-07-29,2026-07-30,119.06,224.7,-47.32532265242545,118.36,2026-09-10,135.92,DATA_END
AARTIIND,Small Cap,2026-07-30,2026-07-31,504.0,1156.55,-58.47996195581686,480.2,2026-09-10,504.05,DATA_END
PCBL,Small Cap,2026-07-30,2026-07-31,328.0,577.6,-43.21329639889196,328.0,2026-09-10,334.8,DATA_END
BLUEDART,Small Cap,2026-07-31,2026-08-03,5560.0,9369.45,-44.92419512351312,5160.3,2026-09-10,4882.6,DATA_END
DEEPAKNTR,Small Cap,2026-08-04,2026-08-05,1845.0,3102.6,-44.63675626893573,1717.7,2026-09-10,1645.8,DATA_END
TRENT,Large Cap,2026-08-06,2026-08-07,3106.5,5489.97,-43.40406231728042,3107.1,2026-09-10,2818.7,DATA_END
OIL,Mid Cap,2026-08-07,2026-08-10,450.0,741.0,-40.24291497975708,442.8,2026-09-10,500.3,DATA_END
GODREJCP,Large Cap,2026-08-12,2026-08-13,911.4,1516.7,-40.00131865233732,910.0,2026-09-10,869.9,DATA_END
DABUR,Mid Cap,2026-08-19,2026-08-20,402.1,667.55,-40.116845180136316,399.75,2026-09-10,376.45,DATA_END
VBL,Large Cap,2026-08-31,2026-09-01,404.45,674.12,-40.59662968017563,400.45,2026-09-10,410.5,DATA_END
NTPCGREEN,Mid Cap,2026-09-02,2026-09-03,88.25,148.61,-40.70385572976247,88.12,2026-09-10,87.72,DATA_END
JIOFIN,Large Cap,2026-09-09,2026-09-10,230.82,387.95,-40.45624436138677,231.0,2026-09-10,230.25,DATA_END
